episode_id,show,episode_title,season,episode,auditory,auditory_rate,rating_myshows,rating_count,episode_length,date,number_of_comments
1,Доктор Хаус, Pilot,1,1,203663,80.78,4.709,2830,43 мин.,16.11.2004,174
2,Доктор Хаус, Paternity,1,2,201340,79.86,4.722,2557,43 мин.,23.11.2004,36
3,Доктор Хаус, Occam's Razor,1,3,199927,79.3,4.709,2507,43 мин.,30.11.2004,26
4,Доктор Хаус, Maternity,1,4,198629,78.78,4.749,2515,43 мин.,07.12.2004,36
5,Доктор Хаус, Damned If You Do,1,5,197598,78.37,4.722,2453,43 мин.,14.12.2004,29
6,Доктор Хаус, The Socratic Method,1,6,196583,77.97,4.743,2443,43 мин.,21.12.2004,35
7,Доктор Хаус, Fidelity,1,7,195730,77.63,4.724,2420,43 мин.,28.12.2004,21
8,Доктор Хаус, Poison,1,8,195125,77.39,4.736,2411,43 мин.,25.01.2005,33
9,Доктор Хаус, DNR,1,9,194528,77.16,4.781,2405,43 мин.,01.02.2005,22
10,Доктор Хаус, Histories,1,10,194081,76.98,4.734,2411,43 мин.,08.02.2005,11
11,Доктор Хаус, Detox,1,11,193536,76.76,4.755,2353,43 мин.,15.02.2005,27
12,Доктор Хаус, Sports Medicine,1,12,193168,76.62,4.703,2333,43 мин.,22.02.2005,23
13,Доктор Хаус, Cursed,1,13,192783,76.47,4.755,2358,43 мин.,01.03.2005,22
14,Доктор Хаус, Control,1,14,192485,76.35,4.768,2336,43 мин.,15.03.2005,24
15,Доктор Хаус, Mob Rules,1,15,192211,76.24,4.716,2309,43 мин.,22.03.2005,15
16,Доктор Хаус, Heavy,1,16,192000,76.15,4.768,2324,43 мин.,29.03.2005,24
17,Доктор Хаус, Role Model,1,17,191836,76.09,4.772,2334,43 мин.,12.04.2005,30
18,Доктор Хаус, Babies & Bathwater,1,18,191683,76.03,4.779,2349,43 мин.,19.04.2005,40
19,Доктор Хаус, Kids,1,19,191569,75.98,4.763,2341,43 мин.,03.05.2005,30
20,Доктор Хаус, Love Hurts,1,20,191449,75.94,4.734,2349,43 мин.,10.05.2005,19
21,Доктор Хаус, Three Stories,1,21,191373,75.91,4.813,2544,43 мин.,17.05.2005,28
22,Доктор Хаус, Honeymoon,1,22,191294,75.87,4.761,2420,43 мин.,24.05.2005,17
23,Доктор Хаус, Acceptance,2,1,187427,74.34,4.723,2233,43 мин.,13.09.2005,20
24,Доктор Хаус, Autopsy,2,2,187180,74.24,4.801,2397,43 мин.,20.09.2005,37
25,Доктор Хаус, Humpty Dumpty,2,3,186910,74.14,4.728,2199,43 мин.,27.09.2005,19
26,Доктор Хаус, TB or Not TB,2,4,186662,74.04,4.718,2183,43 мин.,01.11.2005,14
27,Доктор Хаус, Daddy's Boy,2,5,186422,73.94,4.725,2188,43 мин.,08.11.2005,16
