841855,Портландия, Farm,1,1,1610,60.82,3.79,81,22 мин.,21.01.2011,9,12471
841856,Портландия, A Song for Portland,1,2,1410,53.27,3.985,68,22 мин.,28.01.2011,1,12471
841857,Портландия, Aimee,1,3,1303,49.23,4.053,57,22 мин.,04.02.2011,0,12471
841858,Портландия, Mayor is Missing,1,4,1239,46.81,4.278,54,22 мин.,11.02.2011,0,12471
841859,Портландия, Baseball,1,5,1187,44.84,3.957,47,22 мин.,18.02.2011,2,12471
841860,Портландия, Blunderbuss,1,6,1172,44.28,3.979,48,22 мин.,25.02.2011,0,12471
1849469,Портландия, The Brunch Special,2,special-1,283,10.69,4.5,4,60 мин.,20.07.2012,0,12471
1292600,Портландия, Mixology,2,1,998,37.7,3.973,37,22 мин.,06.01.2012,2,12471
1292601,Портландия, One Moore Episode,2,2,976,36.87,4.146,41,22 мин.,13.01.2012,2,12471
1292602,Портландия, Cool Wedding,2,3,959,36.23,3.906,32,22 мин.,20.01.2012,0,12471
1346830,Портландия, Grover,2,4,947,35.78,4.059,34,22 мин.,27.01.2012,0,12471
1346831,Портландия, Cops Redesign,2,5,938,35.44,4.229,35,22 мин.,03.02.2012,1,12471
1356185,Портландия, Cat Nap,2,6,934,35.29,4.094,32,22 мин.,10.02.2012,1,12471
1356186,Портландия, Motorcycle,2,7,924,34.91,3.969,32,22 мин.,17.02.2012,1,12471
1356187,Портландия, Feminist Bookstore's 10th Anniversary,2,8,917,34.64,4.121,33,22 мин.,24.02.2012,0,12471
1393107,Портландия, No Olympics,2,9,910,34.38,3.969,32,22 мин.,02.03.2012,0,12471
1393108,Портландия, Brunch Village,2,10,905,34.19,4.121,33,22 мин.,09.03.2012,0,12471
1644264,Портландия, Winter in Portlandia,3,1,813,30.71,4.031,32,22 мин.,14.12.2012,0,12471
1660771,Портландия, Take Back MTV,3,2,803,30.34,4.061,33,22 мин.,04.01.2013,0,12471
1660772,Портландия, Missionaries,3,3,791,29.88,4.226,31,22 мин.,04.01.2013,1,12471
1660773,Портландия, Nina's Birthday,3,4,784,29.62,4.032,31,22 мин.,11.01.2013,0,12471
1674680,Портландия, Squiggleman,3,5,768,29.01,4.0,27,22 мин.,18.01.2013,0,12471
1674681,Портландия, Off the Grid,3,6,764,28.86,4.077,26,22 мин.,25.01.2013,0,12471
1686516,Портландия, The Temp,3,7,751,28.37,4.0,26,22 мин.,01.02.2013,0,12471
1686517,Портландия, Soft Opening,3,8,745,28.15,3.962,26,22 мин.,08.02.2013,0,12471
1715029,Портландия, Alexandra,3,9,739,27.92,3.821,28,22 мин.,15.02.2013,1,12471
1715030,Портландия, No-Fo-O-Fo-Bridge,3,10,737,27.84,3.893,28,22 мин.,22.02.2013,1,12471
1715031,Портландия, Blackout,3,11,730,27.58,4.071,28,22 мин.,01.03.2013,1,12471
1988847,Портландия, Sharing Finances,4,1,676,25.54,4.323,31,22 мин.,27.02.2014,0,12471
2091788,Портландия, Ecoterrorists,4,2,665,25.12,4.313,32,22 мин.,06.03.2014,1,12471
2091789,Портландия, Celery Guy,4,3,655,24.74,4.207,29,22 мин.,13.03.2014,1,12471
2091790,Портландия, Pull-Out King,4,4,646,24.4,4.074,27,22 мин.,20.03.2014,0,12471
2091791,Портландия, Spyke Drives,4,5,637,24.06,4.286,28,22 мин.,27.03.2014,0,12471
2099142,Портландия, Bahama Knights,4,6,630,23.8,3.926,27,22 мин.,03.04.2014,0,12471
2099143,Портландия, Trail Blazers,4,7,627,23.69,3.962,26,22 мин.,10.04.2014,1,12471
2099144,Портландия, Late in Life Drug Use,4,8,617,23.31,4.185,27,22 мин.,17.04.2014,0,12471
2099145,Портландия, 3D Printer,4,9,613,23.16,3.92,25,22 мин.,24.04.2014,1,12471
2110530,Портландия, Getting Away,4,10,610,23.04,4.194,31,22 мин.,01.05.2014,0,12471
2447925,Портландия, The Story of Toni and Candace,5,1,585,22.1,4.242,33,22 мин.,08.01.2015,2,12471
