show_id,title,original_title,status,auditory,rating_myshows,rating_count,rating_kinopoisk,kinopoisk_count,rating_imdb,imdb_count,country,genre,channel,total_length,episode_length,dates,actors,seasons,episodes_in_season
1,Доктор Хаус,House M.D.,Отменен/Закончен,251962,4.62,133317,8.802,437408,8.7,458916,['США'],"['Драма', ' Медицинский', ' Детектив']",FOX,5 дней 7 часов 38 минут,43 мин.,16.11.2004 — 21.05.2012,"['Hugh Laurie', 'Robert Sean Leonard', 'Omar Epps', 'Jesse Spencer', 'Lisa Edelstein', 'Jennifer Morrison', 'Peter Jacobson', 'Olivia Wilde', 'Kal Penn', 'Odette Annable', 'Charlyne Yi', 'Amber Tamblyn']",8,"['22', '24', '24', '16', '24', '21', '23', '23']"
2,Теория большого взрыва,The Big Bang Theory,Отменен/Закончен,295871,4.5,155616,8.628,410129,8.2,799151,['США'],['Комедия'],CBS,4 дня 7 часов 56 минут,22 мин.,24.09.2007 — 27.12.2019,"['Johnny Galecki', 'Jim Parsons', 'Simon Helberg', 'Kunal Nayyar', 'Kaley Cuoco', 'Melissa Rauch', 'Mayim Bialik', 'Kevin Sussman', 'Laura Spencer', 'Sara Gilbert']",12,"['18', '23', '24', '24', '24', '24', '24', '24', '24', '24', '24', '26']"
3,Обмани меня,Lie to Me,Отменен/Закончен,208797,4.29,104747,8.131,263765,8.0,119832,['США'],"['Криминал', ' Драма', ' Детектив']",FOX,1 день 11 часов 41 минута,43 мин.,21.01.2009 — 31.01.2011,"['Tim Roth', 'Kelli Williams', 'Monica Raymund', 'Brendan Hines', 'Hayley McFarland', 'Mekhi Phifer']",3,"['13', '22', '13']"
4,24 часа,24,Отменен/Закончен,20641,3.98,9549,7.852,16460,8.4,185912,['США'],"['Драма', ' Триллер', ' Боевик']",FOX,6 дней 6 часов 10 минут,43 мин.,06.11.2001 — 30.09.2014,"['Kiefer Sutherland', 'Mary Lynn Rajskub', 'Carlos Bernard', 'Dennis Haysbert', 'Elisha Cuthbert', 'James Morrison', 'Kim Raver', 'Reiko Aylesworth', 'Roger R. Cross', 'D.B. Woodside', 'Penny Johnson Jerald', 'Cherry Jones', 'Gregory Itzin', 'Annie Wersching', 'Louis Lombardi', 'Sarah Clarke', 'William Devane', 'Bob Gunton', 'Jayne Atkinson', 'Carlo Rota', 'Eric Balfour', 'Xander Berkeley', 'Peter MacNicol', 'Sarah Wynter', 'Freddie Prinze, Jr.', 'John Boyd', 'Marisol Nichols', 'Jean Smart', 'James Badge Dale', 'Leslie Hope', 'Janeane Garofalo', 'Katee Sackhoff', 'Jeffrey Nordling', 'Mykelti Williamson', 'Anil Kapoor', 'Colm Feore', 'Yvonne Strahovski', 'Tate Donovan', 'Chris Diamantopoulos', 'Lana Parrilla', 'Alberta Watson', 'Gbenga Akinnagbe', 'Benjamin Bratt', 'Rhys Coiro', 'Michael Wincott', 'Regina King', 'Giles Matthey']",9,"['24', '24', '24', '25', '25', '26', '25', '25', '14']"
5,Дурман,Weeds,Отменен/Закончен,25577,4.0,12188,7.75,11972,7.9,110587,['США'],"['Комедия', ' Криминал', ' Драма']",SHOWTIME,1 день 13 часов 24 минуты,28 мин.,07.08.2005 — 16.09.2012,"['Mary-Louise Parker', 'Hunter Parrish', 'Alexander Gould', 'Justin Kirk', 'Kevin Nealon', 'Andy Milder', 'Romany Malco', 'Allie Grant', 'Tonye Patano', 'Elizabeth Perkins']",8,"['10', '12', '15', '13', '13', '13', '13', '13']"
6,Герои,Heroes,Отменен/Закончен,104501,3.93,53602,7.817,77507,7.6,240864,['США'],"['Боевик', ' Фантастика']",NBC,2 дня 12 часов 8 минут,45 мин.,25.09.2006 — 08.02.2010,"['Jack Coleman', 'Hayden Panettiere', 'Milo Ventimiglia', 'Masi Oka', 'Sendhil Ramamurthy', 'James Kyson', 'Adrian Pasdar', 'Zachary Quinto', 'Greg Grunberg', 'Cristine Rose', 'Ali Larter', 'Noah Gray-Cabey', 'Ali Larter', 'Robert Knepper', 'Leonard Roberts', 'Santiago Cabrera', 'David Anders', 'Dania Ramirez', 'Tawny Cypress', 'Kristen Bell', 'Dana Davis']",4,"['24', '11', '26', '19']"
7,Декстер,Dexter,Отменен/Закончен,183963,4.37,92644,8.277,191362,8.7,721058,['США'],"['Криминал', ' Драма', ' Детектив']",SHOWTIME,3 дня 4 часа 8 минут,55 мин.,01.10.2006 — ...,"['Michael C. Hall', 'Jennifer Carpenter', 'David Zayas', 'Lauren Vélez', 'James Remar', 'C.S. Lee', 'Desmond Harrington', 'Julie Benz', 'Geoff Pierson', 'Jack Alcott', 'Aimee Garcia', 'Erik King', 'Clancy Brown', 'Julia Jones', 'Johnny Sequoyah', 'Alano Miller']",9,"['12', '12', '12', '12', '12', '12', '12', '12', '8']"
8,Остаться в живых,Lost,Отменен/Закончен,260945,4.42,135910,8.144,297541,8.3,548851,['США'],"['Драма', ' Приключения', ' Сверхъестественное']",ABC,4 дня 4 часа 9 минут,43 мин.,22.09.2004 — 24.08.2010,"['Matthew Fox', 'Evangeline Lilly', 'Jorge Garcia', 'Josh Holloway', ""Terry O'Quinn"", 'Naveen Andrews', 'Daniel Dae Kim', 'Kim Yoon Jin', 'Emilie de Ravin', 'Dominic Monaghan', 'Michael Emerson', 'Harold Perrineau', 'Elizabeth Mitchell', 'Henry Ian Cusick', 'Ken Leung', 'Maggie Grace', 'Jeremy Davies', 'Nestor Carbonell', 'Rebecca Mader', 'Ian Somerhalder', 'Jeff Fahey', 'Malcolm David Kelley', 'Michelle Rodriguez', 'Adewale Akinnuoye-Agbaje', 'Cynthia Watros', 'Zuleikha Robinson', 'Rodrigo Santoro', 'Kiele Sanchez']",6,"['26', '27', '40', '16', '20', '21']"
9,Все ненавидят Криса,Everybody Hates Chris,Отменен/Закончен,58307,4.23,30278,7.997,36604,7.5,37959,['США'],['Комедия'],CW,1 день 8 часов 16 минут,22 мин.,22.09.2005 — 08.05.2009,"['Whoopi Goldberg', 'Tristin Mays', 'Todd Bridges', 'Terry Crews', 'Tichina Arnold', 'Tequan Richmond', 'Imani Hakim', 'Vincent Martella', 'Tyler James Williams', 'Chris Rock']",4,"['22', '22', '22', '22']"
10,Блудливая Калифорния,Californication,Отменен/Закончен,129678,4.24,64462,8.058,108461,8.3,180672,['США'],"['Комедия', ' Драма']",SHOWTIME,1 день 18 часов,30 мин.,13.08.2007 — 29.06.2014,"['David Duchovny', 'Evan Handler', 'Natascha McElhone', 'Pamela Adlon', 'Madeleine Martin', 'Madeline Zima']",7,"['12', '12', '12', '12', '12', '12', '12']"
